iter	RMSE
0	13.95691833
1	13.06193649
2	12.25522434
3	11.54365373
4	10.89087988
5	10.37916535
6	9.876605516
7	9.431625836
8	9.008029127
9	8.595356386
10	8.227239512
11	7.914080065
12	7.630455881
13	7.367625828
14	7.133561993
15	6.954707955
16	6.790732597
17	6.636050053
18	6.468561778
19	6.317938484
20	6.209139034
21	6.108724351
22	6.020820353
23	5.937157663
24	5.860134931
25	5.789603201
26	5.719044695
27	5.674869045
28	5.61501811
29	5.574222929
30	5.54045938
31	5.498916388
32	5.46175555
33	5.430190136
34	5.405945966
35	5.378788349
36	5.342992891
37	5.33086764
38	5.312717123
39	5.287519753
40	5.265394503
41	5.253571988
42	5.234362633
43	5.20268593
44	5.187191718
45	5.175308572
46	5.15562574
47	5.136548569
48	5.127102529
49	5.113039105
50	5.099925602
51	5.087745804
52	5.074495108
53	5.062486403
54	5.052100315
55	5.031539902
56	5.021059008
57	5.017181323
58	5.006387891
59	4.99138613
60	4.983370182
61	4.970193139
62	4.954799063
63	4.945347313
64	4.936854006
65	4.927136874
66	4.919562806
67	4.901991923
68	4.892652217
69	4.878939582
70	4.871634763
71	4.857894774
72	4.852270949
73	4.845090215
74	4.841333938
75	4.833718042
76	4.825073428
77	4.817084612
78	4.813739954
79	4.807353759
80	4.792960543
81	4.783548607
82	4.771887082
83	4.759258428
84	4.742711901
85	4.730503083
86	4.729000976
87	4.721497103
88	4.711760983
89	4.702242513
90	4.700306206
91	4.684867151
92	4.670789444
93	4.664888104
94	4.64626971
95	4.636330958
96	4.625076452
97	4.610390979
98	4.59448518
99	4.589734304
