iter	Passed	Remaining
0	0	64
1	1	61
2	2	69
3	2	65
4	3	62
5	3	60
6	4	59
7	5	58
8	5	56
9	6	55
10	6	54
11	7	53
12	7	53
13	8	53
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	50
20	13	50
21	14	49
22	14	49
23	15	49
24	16	48
25	16	47
26	17	47
27	17	46
28	18	45
29	19	44
30	19	43
31	20	43
32	21	43
33	22	42
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	25	38
40	26	38
41	27	37
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	34	31
52	34	30
53	35	30
54	36	29
55	36	28
56	37	28
57	38	27
58	38	26
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	20
70	47	19
71	48	18
72	48	18
73	49	17
74	49	16
75	50	15
76	51	15
77	52	14
78	52	14
79	53	13
80	54	12
81	54	11
82	55	11
83	55	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	65	1
98	65	0
99	66	0
