iter	RMSE
0	14.49184873
1	14.11721344
2	13.75177007
3	13.39420407
4	13.05133292
5	12.78048081
6	12.47984455
7	12.21246016
8	11.96165621
9	11.66495541
10	11.3886272
11	11.16747451
12	10.90973582
13	10.68491096
14	10.45206804
15	10.22094631
16	10.01451372
17	9.81751874
18	9.61387734
19	9.425232428
20	9.275915381
21	9.10752259
22	8.936303549
23	8.784287832
24	8.621318598
25	8.49165511
26	8.361175648
27	8.252414358
28	8.122318897
29	8.006278907
30	7.903970514
31	7.796620809
32	7.683121695
33	7.591712404
34	7.488511901
35	7.391519871
36	7.299391253
37	7.210376957
38	7.131804353
39	7.056506971
40	6.987751471
41	6.916756006
42	6.845471187
43	6.776614166
44	6.715064976
45	6.650525746
46	6.595065352
47	6.53817737
48	6.482070194
49	6.427372357
50	6.373532396
51	6.324927403
52	6.28466274
53	6.23898542
54	6.194333379
55	6.157276846
56	6.120141412
57	6.082672152
58	6.044672203
59	6.01528719
60	5.980486992
61	5.951820099
62	5.925594472
63	5.895913167
64	5.867549269
65	5.842752184
66	5.81730732
67	5.790007634
68	5.769892186
69	5.746736018
70	5.726138318
71	5.707952796
72	5.688023271
73	5.66987484
74	5.653111311
75	5.633244335
76	5.617931728
77	5.602340292
78	5.585965509
79	5.569367731
80	5.560029218
81	5.543977105
82	5.529043352
83	5.516018642
84	5.509133853
85	5.497186333
86	5.485155915
87	5.474322807
88	5.464592077
89	5.451402814
90	5.440024515
91	5.430168036
92	5.419648955
93	5.412845284
94	5.402743045
95	5.391479691
96	5.379355408
97	5.369844418
98	5.362480517
99	5.352437737
100	5.344128557
101	5.330405699
102	5.322634537
103	5.318014818
104	5.307477603
105	5.294798734
106	5.285252544
107	5.274593139
108	5.267869279
109	5.260252274
110	5.252885593
111	5.245807908
112	5.239738782
113	5.232464118
114	5.226134309
115	5.217900411
116	5.211571716
117	5.207884993
118	5.200731464
119	5.19481778
120	5.18857327
121	5.183242168
122	5.176198461
123	5.170864029
124	5.161257096
125	5.153032524
126	5.147558324
127	5.143090074
128	5.134722019
129	5.130870165
130	5.124852203
131	5.120550678
132	5.110953736
133	5.100344575
134	5.09649868
135	5.091950502
136	5.086685818
137	5.079729518
138	5.076059059
139	5.07231135
140	5.06810183
141	5.060564898
142	5.053102472
143	5.045095022
144	5.042364958
145	5.03646763
146	5.031307796
147	5.027161144
148	5.023013641
149	5.020320436
150	5.014625819
151	5.01254493
152	5.007494907
153	5.003547206
154	4.996229334
155	4.98984218
156	4.98604708
157	4.982578027
158	4.980360434
159	4.972149805
160	4.968668394
161	4.964449188
162	4.960086959
163	4.95757569
164	4.951387286
165	4.949398546
166	4.945448282
167	4.938787063
168	4.930389739
169	4.923433321
170	4.919497503
171	4.912260475
172	4.909442159
173	4.90622027
174	4.902930952
175	4.897173943
176	4.89349615
177	4.889393891
178	4.883924797
179	4.880142712
180	4.876658047
181	4.871307381
182	4.86685924
183	4.862608049
184	4.859661093
185	4.857347461
186	4.85273756
187	4.847260161
188	4.843030698
189	4.838321961
190	4.834472542
191	4.83176403
192	4.828590097
193	4.823790714
194	4.820586843
195	4.819006616
196	4.812643603
197	4.80730479
198	4.803908146
199	4.796549872
200	4.791971038
201	4.787915358
202	4.784373014
203	4.779515579
204	4.772582983
205	4.766584113
206	4.762850169
207	4.757315603
208	4.752626908
209	4.749432484
210	4.748704629
211	4.744193238
212	4.741206115
213	4.738842739
214	4.734979641
215	4.730912918
216	4.727212498
217	4.722593733
218	4.720129221
219	4.719178214
220	4.714118906
221	4.708271248
222	4.704502856
223	4.698000438
224	4.691539397
225	4.689527115
226	4.685676863
227	4.681094257
228	4.675262855
229	4.674241133
230	4.671276137
231	4.66545184
232	4.657994789
233	4.65263043
234	4.650170667
235	4.644238558
236	4.639709111
237	4.635051832
238	4.631452056
239	4.62855837
240	4.624476581
241	4.616589433
242	4.609980919
243	4.606209087
244	4.603029051
245	4.601116548
246	4.595571427
247	4.589251398
248	4.585787875
249	4.583364449
250	4.577326884
251	4.574918843
252	4.569811546
253	4.565440469
254	4.558610675
255	4.556246219
256	4.555397816
257	4.551446414
258	4.545432847
259	4.542480796
260	4.537043078
261	4.534765695
262	4.532658286
263	4.529071313
264	4.526298113
265	4.523384668
266	4.516994509
267	4.51145443
268	4.50819123
269	4.504554968
270	4.502339383
271	4.498108906
272	4.496060629
273	4.495304238
274	4.492584773
275	4.488748951
276	4.480938211
277	4.475692803
278	4.473050576
279	4.470290988
280	4.466751912
281	4.461409397
282	4.458139176
283	4.453818931
284	4.448709582
285	4.443253778
286	4.439442759
287	4.436995647
288	4.433418534
289	4.431989307
290	4.430308841
291	4.429608518
