iter	Passed	Remaining
0	140	140579
1	142	71250
2	144	47958
3	146	36419
4	147	29403
5	149	24833
6	151	21540
7	153	19013
8	154	17017
9	155	15411
10	156	14115
11	158	13083
12	160	12172
13	161	11389
14	162	10695
15	164	10094
16	165	9581
17	166	9103
18	168	8684
19	169	8296
20	171	7976
21	172	7661
22	173	7378
23	174	7115
24	175	6862
25	177	6646
26	178	6433
27	179	6232
28	180	6054
29	181	5883
30	183	5738
31	184	5588
32	185	5442
33	186	5302
34	187	5182
35	189	5076
36	190	4971
37	192	4863
38	193	4757
39	194	4669
40	195	4576
41	196	4486
42	197	4399
43	198	4316
44	199	4241
45	201	4170
46	202	4099
47	203	4035
48	204	3968
49	206	3914
50	207	3856
51	208	3798
52	209	3743
53	210	3686
54	212	3644
55	213	3596
56	214	3550
57	215	3506
58	217	3461
59	218	3421
60	219	3380
61	220	3341
62	222	3302
63	223	3266
64	225	3237
65	226	3202
66	227	3171
67	229	3144
68	231	3124
69	232	3091
70	233	3060
71	234	3026
72	236	3001
73	238	2979
74	239	2950
75	240	2923
76	241	2898
77	243	2876
78	244	2853
79	246	2830
80	247	2802
81	248	2784
82	249	2761
83	251	2738
84	252	2712
85	253	2690
86	255	2676
87	256	2655
88	257	2636
89	258	2613
90	259	2593
91	261	2578
92	262	2559
93	263	2539
94	264	2522
95	266	2506
96	267	2493
97	269	2483
98	271	2466
99	272	2453
100	274	2439
101	275	2425
102	276	2408
103	277	2392
104	279	2379
105	280	2365
106	281	2351
107	282	2334
108	283	2317
109	285	2306
110	286	2295
111	287	2281
112	288	2266
113	289	2252
114	291	2242
115	292	2232
116	294	2220
117	295	2207
118	297	2199
119	298	2192
120	300	2181
121	301	2170
122	303	2165
123	305	2156
124	306	2145
125	308	2136
126	310	2131
127	311	2122
128	312	2112
129	314	2103
130	316	2097
131	317	2087
132	318	2077
133	320	2068
134	322	2063
135	323	2054
136	324	2045
137	326	2039
138	328	2035
139	329	2026
140	331	2018
141	333	2015
142	335	2008
143	336	2001
144	338	1997
145	340	1992
146	341	1984
147	343	1977
148	344	1969
149	346	1965
150	348	1958
151	349	1949
152	351	1945
153	353	1939
154	354	1933
155	355	1926
156	357	1921
157	359	1914
158	360	1907
159	362	1902
160	364	1900
161	366	1895
162	367	1889
163	370	1887
164	371	1880
165	372	1873
166	374	1868
167	376	1865
168	378	1861
169	381	1861
170	382	1855
171	384	1851
172	386	1848
173	388	1846
174	390	1842
175	393	1841
176	394	1835
177	396	1833
178	402	1846
179	407	1857
180	409	1853
181	414	1862
182	415	1856
183	418	1855
184	420	1852
185	430	1883
186	432	1880
187	434	1877
188	436	1874
189	439	1875
190	442	1875
191	444	1872
192	446	1867
193	462	1920
194	465	1919
195	466	1913
196	467	1906
197	469	1903
198	471	1897
199	472	1891
200	477	1896
201	478	1890
202	480	1887
203	483	1884
204	485	1880
205	487	1877
206	490	1880
207	493	1878
208	495	1875
209	500	1883
210	502	1877
211	504	1874
212	506	1870
213	507	1865
214	510	1862
215	511	1858
216	513	1853
217	517	1854
218	519	1852
219	520	1845
220	522	1840
221	523	1835
222	525	1831
223	527	1826
224	528	1820
225	530	1816
226	531	1810
227	533	1805
228	536	1805
229	538	1801
230	539	1796
231	541	1791
232	543	1788
233	544	1782
234	545	1775
235	546	1770
236	548	1764
237	549	1760
238	550	1754
239	552	1748
240	553	1743
